Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Motorcycle,Owner, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Changing lane to the right,Serious Injury,Afternoon
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Governmental,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,3,No distancing,Slight Injury,Night
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Turnover,3,Changing lane to the left,Slight Injury,Afternoon
Tuesday,Unknown,Female,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,3,Changing lane to the right,Slight Injury,Afternoon
Tuesday,Under 18,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Serious Injury,Afternoon
Monday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,3,No priority to pedestrian,Serious Injury,Afternoon
Monday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No priority to pedestrian,Serious Injury,Afternoon
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,U-Turn,3,Changing lane to the left,Slight Injury,Morning
Thursday,Under 18,Unknown,Junior high school,Employee,1-2yr,Automobile,Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,3,Going straight,3,No distancing,Slight Injury,Evening
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Taxi,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Stopping,3,No distancing,Slight Injury,Evening
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Serious Injury,Evening
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,3,Changing lane to the right,Serious Injury,Evening
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Overturning,Slight Injury,Afternoon
Saturday,Unknown,Male,High school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Moving Backward,3,Moving Backward,Slight Injury,Night
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Night
Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,3,Moving Backward,Slight Injury,Evening
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Overspeed,Slight Injury,Evening
Monday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,3,Driving under the influence of drugs,Serious Injury,Afternoon
Monday,Under 18,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,3,Driving carelessly,Serious Injury,Afternoon
Sunday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner, Industrial areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,3,Overspeed,Slight Injury,Afternoon
Sunday,18-30,Male,Unknown,Other,5-10yr,Automobile,Organization, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,3,Driving under the influence of drugs,Slight Injury,Afternoon
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the right,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Employee,No Licence,Other,Owner,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Moving Backward,Slight Injury,Afternoon
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Overspeed,Serious Injury,Night
Friday,31-50,Male,High school,Owner,2-5yr,Public (12 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Morning
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,2,No distancing,Slight Injury,Morning
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Night
Thursday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,3,No distancing,Slight Injury,Night
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Night
Tuesday,31-50,Male,Unknown,Employee,Above 10yr,Lorry (11?40Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No priority to pedestrian,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Evening
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,3,No distancing,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Drunk driving,Slight Injury,Afternoon
Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Monday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Getting off the vehicle improperly,Slight Injury,Evening
Monday,31-50,Male,Junior high school,Employee,2-5yr,Taxi,Governmental, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Evening
Sunday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Monday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,Driving at high speed,Serious Injury,Afternoon
Monday,Unknown,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Other,2,Changing lane to the right,Slight Injury,Evening
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Changing lane to the right,Slight Injury,Afternoon
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Other,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the right,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Thursday,31-50,Male,Junior high school,Owner,Below 1yr,Motorcycle,Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,3,Overturning,Slight Injury,Afternoon
Wednesday,Over 51,Male,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Moving Backward,Slight Injury,Evening
Wednesday,Over 51,Male,Elementary school,Owner,5-10yr,Stationwagen,Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,No distancing,Slight Injury,Evening
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,3,Overturning,Slight Injury,Evening
Friday,18-30,Male,Writing & reading,Employee,5-10yr,Automobile,Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,  Recreational areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,Moving Backward,Slight Injury,Morning
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,3,No distancing,Slight Injury,Evening
Friday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Other,3,Drunk driving,Slight Injury,Evening
Monday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Changing lane to the right,Slight Injury,Morning
Monday,Under 18,Male,Elementary school,Employee,Below 1yr,Automobile,Organization,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Reversing,3,Driving carelessly,Slight Injury,Morning
Monday,Under 18,Male,Junior high school,Employee,2-5yr,Taxi,Governmental,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Driving to the left,Slight Injury,Morning
Friday,31-50,Male,High school,Employee,Above 10yr,Long lorry,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,3,Changing lane to the right,Serious Injury,Morning
Friday,Unknown,Male,High school,Employee,Above 10yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,3,Driving carelessly,Serious Injury,Morning
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Stopping,3,Changing lane to the left,Slight Injury,Night
Wednesday,Unknown,Female,Elementary school,Employee,5-10yr,Turbo,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,3,Driving carelessly,Slight Injury,Afternoon
Wednesday,Under 18,Unknown,Junior high school,Employee,5-10yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the right,Slight Injury,Afternoon
Monday,31-50,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Monday,Unknown,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Afternoon
Monday,Unknown,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the left,Slight Injury,Evening
Monday,31-50,Male,Writing & reading,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No priority to vehicle,Slight Injury,Evening
Tuesday,Over 51,Male,High school,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Moving Backward,Slight Injury,Afternoon
Saturday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Employee,No Licence,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Reversing,3,Driving carelessly,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Owner,Below 1yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Sunday,18-30,Male,Junior high school,Owner,1-2yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Getting off,3,No priority to vehicle,Slight Injury,Afternoon
Tuesday,31-50,Male,Junior high school,Owner,2-5yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,3,No priority to vehicle,Serious Injury,Afternoon
Tuesday,31-50,Male,Writing & reading,Owner,5-10yr,Automobile,Governmental, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Entering a junction,3,Moving Backward,Slight Injury,Afternoon
Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Entering a junction,3,Changing lane to the right,Slight Injury,Afternoon
Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,3,Driving carelessly,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Owner,2-5yr,Special vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,3,No distancing,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,3,Driving under the influence of drugs,Slight Injury,Afternoon
Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Organization, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Entering a junction,3,No distancing,Slight Injury,Afternoon
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,3,Overturning,Serious Injury,Afternoon
Monday,18-30,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,3,No distancing,Slight Injury,Evening
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,3,Changing lane to the right,Slight Injury,Evening
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the right,Slight Injury,Morning
Monday,Under 18,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,2,Driving carelessly,Slight Injury,Morning
Thursday,Unknown,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Morning
